ID	file_name_F	file_name_R	sequencing_batch	label	date	station	season
3	18118-0003_S21_L001_R1_001.fastq	18118-0003_S21_L001_R2_001.fastq	18118_batch1	13/7-17 F	13.07.2017	F	Summer
5	18118-0005_S41_L001_R1_001.fastq	18118-0005_S41_L001_R2_001.fastq	18118_batch1	27/7-17 F	27.07.2017	F	Summer
7	18118-0007_S61_L001_R1_001.fastq	18118-0007_S61_L001_R2_001.fastq	18118_batch1	10/8-17 F	10.08.2017	F	Summer
9	18118-0009_S2_L001_R1_001.fastq	18118-0009_S2_L001_R2_001.fastq	18118_batch1	24/8-17 F	24.08.2017	F	Summer
11	18118-0010_S12_L001_R1_001.fastq	18118-0010_S12_L001_R2_001.fastq	18118_batch1	19/9-17 F	19.09.2017	F	Summer
13	18118-0012_S32_L001_R1_001.fastq	18118-0012_S32_L001_R2_001.fastq	18118_batch1	12/10-17 F	12.10.2017	F	Autumn
15	18118-0014_S52_L001_R1_001.fastq	18118-0014_S52_L001_R2_001.fastq	18118_batch1	23/11-17 F	23.11.2017	F	Autumn
17	18118-0016_S71_L001_R1_001.fastq	18118-0016_S71_L001_R2_001.fastq	18118_batch1	14/12-17 F	14.12.2017	F	Autumn
19	18118-0018_S13_L001_R1_001.fastq	18118-0018_S13_L001_R2_001.fastq	18118_batch1	13/2-18 F	13.02.2018	F	Winter
21	18118-0416_R1_all.fastq	18118-0416_R2_all.fastq	18118_batch4	27/3-18 F	27.03.2018	F	Winter
23_1	18118-0417_R1_all.fastq	18118-0417_R2_all.fastq	18118_batch4	24/4-18 F-1	24.04.2018	F	Spring
23_2	18118-0420_R1_all.fastq	18118-0420_R2_all.fastq	18118_batch4	24/4-18 F-2	24.04.2018	F	Spring
25	18118-0022_S53_L001_R1_001.fastq	18118-0022_S53_L001_R2_001.fastq	18118_batch1	22/5-18 F	22.05.2018	F	Spring
27	18118-0024_S72_L001_R1_001.fastq	18118-0024_S72_L001_R2_001.fastq	18118_batch1	19/6-18 F	19.06.2018	F	Spring
29	18118-0026_S14_L001_R1_001.fastq	18118-0026_S14_L001_R2_001.fastq	18118_batch1	10/7-18 F	10.07.2018	F	Summer
31	18118-0419_R1_all.fastq	18118-0419_R2_all.fastq	18118_batch4	9/8-18 F	09.08.2018	F	Summer
33	18118-0028_S34_L001_R1_001.fastq	18118-0028_S34_L001_R2_001.fastq	18118_batch1	4/9-18 F	04.09.2018	F	Summer
35	18118-0030_S54_L001_R1_001.fastq	18118-0030_S54_L001_R2_001.fastq	18118_batch1	5/10-18 F	05.10.2018	F	Autumn
37	18118-0032_S73_L001_R1_001.fastq	18118-0032_S73_L001_R2_001.fastq	18118_batch1	23/11-17 FCyM	23.11.2017	FCyM	Autumn
38	18118-0033_S5_L001_R1_001.fastq	18118-0033_S5_L001_R2_001.fastq	18118_batch1	23/11-17 FCaM	23.11.2017	FCaM	Autumn
39	18118-0034_S15_L001_R1_001.fastq	18118-0034_S15_L001_R2_001.fastq	18118_batch1	23/11-17 FCa	23.11.2017	FCa	Autumn
41	18118-0036_S35_L001_R1_001.fastq	18118-0036_S35_L001_R2_001.fastq	18118_batch1	4/12-17 FCyM	04.12.2017	FCyM	Autumn
42	18118-0037_S45_L001_R1_001.fastq	18118-0037_S45_L001_R2_001.fastq	18118_batch1	4/12-17 FCaM	04.12.2017	FCaM	Autumn
43	18118-0038_S55_L001_R1_001.fastq	18118-0038_S55_L001_R2_001.fastq	18118_batch1	4/12-17 FCa	04.12.2017	FCa	Autumn
45	18118-0040_S74_L001_R1_001.fastq	18118-0040_S74_L001_R2_001.fastq	18118_batch1	14/12-17 FCyM	14.12.2017	FCyM	Autumn
46	18118-0041_S6_L001_R1_001.fastq	18118-0041_S6_L001_R2_001.fastq	18118_batch1	14/12-17 FCaM	14.12.2017	FCaM	Autumn
47	18118-0042_S16_L001_R1_001.fastq	18118-0042_S16_L001_R2_001.fastq	18118_batch1	14/12-17 FCa	14.12.2017	FCa	Autumn
49	18118-0044_S36_L001_R1_001.fastq	18118-0044_S36_L001_R2_001.fastq	18118_batch1	13/2-18 FCyM	13.02.2018	FCyM	Winter
51	18118-0045_S46_L001_R1_001.fastq	18118-0045_S46_L001_R2_001.fastq	18118_batch1	13/2-18 FCa	13.02.2018	FCa	Winter
52	18118-0046_S56_L001_R1_001.fastq	18118-0046_S56_L001_R2_001.fastq	18118_batch1	27/3-18 FCyM	27.03.2018	FCyM	Winter
53	18118-0047_S66_L001_R1_001.fastq	18118-0047_S66_L001_R2_001.fastq	18118_batch1	27/3-18 FCaM	27.03.2018	FCaM	Winter
54	18118-0048_S75_L001_R1_001.fastq	18118-0048_S75_L001_R2_001.fastq	18118_batch1	27/3-18 FCa	27.03.2018	FCa	Winter
55	18118-0049_S7_L001_R1_001.fastq	18118-0049_S7_L001_R2_001.fastq	18118_batch1	24/4-18 FCyM	24.04.2018	FCyM	Spring
56	18118-0050_S17_L001_R1_001.fastq	18118-0050_S17_L001_R2_001.fastq	18118_batch1	24/4-18 FCaM	24.04.2018	FCaM	Spring
57	18118-0051_S27_L001_R1_001.fastq	18118-0051_S27_L001_R2_001.fastq	18118_batch1	24/4-18 FCa	24.04.2018	FCa	Spring
58	18118-0052_S37_L001_R1_001.fastq	18118-0052_S37_L001_R2_001.fastq	18118_batch1	22/5-18 FCyM	22.05.2018	FCyM	Spring
59	18118-0053_S47_L001_R1_001.fastq	18118-0053_S47_L001_R2_001.fastq	18118_batch1	22/5-18 FCaM	22.05.2018	FCaM	Spring
60	18118-0054_S57_L001_R1_001.fastq	18118-0054_S57_L001_R2_001.fastq	18118_batch1	22/5-18 FCa	22.05.2018	FCa	Spring
61	18118-0055_S67_L001_R1_001.fastq	18118-0055_S67_L001_R2_001.fastq	18118_batch1	19/6-18 FCyM	19.06.2018	FCyM	Spring
62	18118-0056_S76_L001_R1_001.fastq	18118-0056_S76_L001_R2_001.fastq	18118_batch1	19/6-18 FCaM	19.06.2018	FCaM	Spring
63	18118-0057_S8_L001_R1_001.fastq	18118-0057_S8_L001_R2_001.fastq	18118_batch1	19/6-18 FCa	19.06.2018	FCa	Spring
64	18118-0058_S18_L001_R1_001.fastq	18118-0058_S18_L001_R2_001.fastq	18118_batch1	10/7-18 FCyM	10.07.2018	FCyM	Summer
65	18118-0059_S28_L001_R1_001.fastq	18118-0059_S28_L001_R2_001.fastq	18118_batch1	10/7-18 FCaM	10.07.2018	FCaM	Summer
66	18118-0060_S38_L001_R1_001.fastq	18118-0060_S38_L001_R2_001.fastq	18118_batch1	10/7-18 FCa	10.07.2018	FCa	Summer
67	18118-0061_S48_L001_R1_001.fastq	18118-0061_S48_L001_R2_001.fastq	18118_batch1	9/8-18 FCyM	09.08.2018	FCyM	Summer
68	18118-0062_S58_L001_R1_001.fastq	18118-0062_S58_L001_R2_001.fastq	18118_batch1	9/8-18 FCaM	09.08.2018	FCaM	Summer
69	18118-0063_S68_L001_R1_001.fastq	18118-0063_S68_L001_R2_001.fastq	18118_batch1	9/8-18 FCa	09.08.2018	FCa	Summer
70	18118-0064_S77_L001_R1_001.fastq	18118-0064_S77_L001_R2_001.fastq	18118_batch1	4/9-18 FCyM	04.09.2018	FCyM	Summer
71	18118-0065_S9_L001_R1_001.fastq	18118-0065_S9_L001_R2_001.fastq	18118_batch1	4/9-18 FCaM	04.09.2018	FCaM	Summer
72	18118-0066_S19_L001_R1_001.fastq	18118-0066_S19_L001_R2_001.fastq	18118_batch1	4/9-18 FCa	04.09.2018	FCa	Summer
73	18118-0067_S29_L001_R1_001.fastq	18118-0067_S29_L001_R2_001.fastq	18118_batch1	5/10-18 FCyM	05.10.2018	FCyM	Autumn
74	18118-0068_S39_L001_R1_001.fastq	18118-0068_S39_L001_R2_001.fastq	18118_batch1	5/10-18 FCaM	05.10.2018	FCaM	Autumn
75	18118-0069_S49_L001_R1_001.fastq	18118-0069_S49_L001_R2_001.fastq	18118_batch1	5/10-18 FCa	05.10.2018	FCa	Autumn
ATCC_1	18118-0001_S1_L001_R1_001.fastq	18118-0001_S1_L001_R2_001.fastq	18118_batch1	ATCC_MSA-1002_1			
NC_1	NC_1_18118-0070_S59_L001_R1_001.fastq	NC_1_18118-0070_S59_L001_R2_001.fastq	18118_batch1	NEGATIVE_CONTROL_1			
ATCC_5	18118-0422_R1_all.fastq	18118-0422_R2_all.fastq	18118_batch4	ATCC_MSA-1002_5			
NC_5	NC_5_18118-0423_R1_all.fastq	NC_5_18118-0423_R2_all.fastq	18118_batch4	NEGATIVE_CONTROL_5			
